Index,0 [STRING] [0x0],1 [INT] [0x4],2 [UBYTE] [0xC],3 [UBYTE] [0xD],4 [INT] [0x8],5 [BOOL] [0xE]
190,"小鲶鱼以能够发出噪音而闻名，可是在高声鲶鱼面前那不过是悦耳的铃声。一旦被钓起来，高声鲶鱼就会发出超大音量的噪音，一旦成功把捕鱼人吓跑，它就有活路了。",7681,70,2,135,true
191,"极为罕见的刺鱼，从内脏到骨骼几乎全部是透明的，在光照下犹如水晶一般闪亮。",7682,80,2,134,true
192,"经过了无数的战斗之后幸存下来的斗鱼，也因此获得了传说中的剑斗士的名号。",7683,80,3,152,true
193,"无论是酒瓶还是钓竿，拾荒鮟鱇能够吞下一切嘴边的东西，人称海中古董商。",7684,80,1,138,true
194,"在阳光下的金鳍蝶会像金币一样闪闪发光，据说很多贪心海盗被它诱惑跳入海中，结果从此杳无音讯。",7685,70,0,128,true
195,"原本只是一条普通的银鲨，不过它在与古代章鱼和怪物鳄鱼的死斗中取得了最后的胜利，也因此成为了海中一霸。如果能把它钓上来一定会拯救很多人的性命。",7686,70,1,134,true
196,"世上罕见的卷贝，身上披着硫化铁做成的鳞。因为它能够自己制作铠甲，于是还有个别名叫做“铸甲贝”。",7687,75,1,138,true
197,"虽然开拓者之间经常能听到关于这种鱼的种种传闻，但是由于能够完美地隐藏在沙中，甚至有人怀疑它到底是否真的存在了。",7688,70,2,134,true
198,"一种十分谨慎的暗鲈，为了能够在邪嗣的残酷环境生存下去，它能够付出任何代价。",7689,80,3,141,true
199,"一种大型古代鱼，能够长到3星码（约3米）长，拉力也十分强劲，能够成功钓上这种鱼的人都是了不起的战士。",7690,75,1,135,true
200,"巨大的虎纹鳕，有着像刀剑一样锐利的尖牙。经常有钓者在从它的嘴里拔鱼钩时被咬掉手指。",7691,75,0,135,true
201,"对于空腹的流民来说，能够吃到一条如此巨大的鱼简直是梦幻中的场面。只可惜空有巨大的身躯，味道十分恶劣……",7692,70,2,141,true
202,"海神刀的远亲，据说这种鱼就是当初海洋女神利姆莱茵投向山岳神奥修昂的剑，因为奥修昂看到了她在沐浴时的样子。在那次事件之后，奥修昂转而将爱意献给了慈爱女神梅茵菲娜。",7693,70,1,138,true
203,"非常长寿的一种暗塘鳢，成长到了像岩石一样大。经常躲在岩石的背阴处等待着小鱼主动送上门来。",7694,80,2,152,true
204,"这种鱼有着非常强的毒性，在过去的格里达尼亚，人们曾经将嫌疑犯投入到饲养这种鱼的水池中，依靠神的审判来断定嫌疑犯是否有罪。",7695,80,3,154,true
205,"红茶川的王者，会对在河川中游泳的人发动攻击，要破动脉流出的血会令红茶川的水变得更加红。",7696,70,2,132,true
206,"斗争心非常强的仙女鲈，甚至连大型暗鲈都会被它赶跑。被当地的捕鱼人们奉为仙女的主宰。",7697,80,3,135,true
207,"拥有鱼类中首屈一指的光滑皮肤，即使是近卫骑士罗罗玛雅这位空手抓鱼的传奇人物也不得不败下阵来。",7698,75,3,141,true
208,"即使产卵期结束后也能够存活下来的蓝铃鲑。在格里达尼亚是长寿的象征。",7699,80,2,154,true
209,"每次看到这种鲤鱼都会令人感慨命运的无常。从正面看它时会看到一张人脸若隐若现，令人毛骨悚然。",7700,80,2,148,true
210,"多年以来从未被人成功钓起来过的倔强鲫鱼，令众多尝试挑战的钓鱼好手无功而返。",7701,70,2,133,true
211,"弹涂鱼通常在地上的旅行都不会很远，不过这条鱼为了寻找它的圣地已经走过了让所有人都惊讶不已的距离。",7702,80,3,145,true
212,"与其他骨蝲蛄不同，垂暮蝲蛄的壳已经柔软到了一定境界，甚至可以在钓者认为上钩了的瞬间轻松脱身。",7703,75,3,141,true
213,"这种净骨蜗牛最喜欢人类的骨头，看看它的尺寸，不知道牺牲了多少人……",7704,80,3,145,true
214,"螯爪锋利的深红蝲蛄，能够用利爪切开水蜥的腹部进行捕食。",7705,70,2,148,true
215,"成长到了规格之外的泥软蟹，每次一动起来就让人想到简直是巨像兵在活动。",7706,75,3,140,true
216,"从遥远的太古时代一直生存至今的古代章鱼，巨鲨永远的劲敌，二者一旦相遇便会展开殊死决斗。",7707,70,0,129,true
217,"罗罗力特是富商的同时也是一位著名的美食家，他曾经提供了巨额的赏金寻求这种大鲤鱼。不过之后不久便因为吃腻了鱼鲜而撤回了赏金。",7708,70,2,133,true
218,"君临尼姆河的一种大型刺鱼。小小的诱饵鱼根本无法引起它的注意，曾经有人目击过它无视附近的诱饵悠闲自得地在水中游泳。",7709,70,2,134,true
219,"一种超大型海龙。它的名字也有一定的来历：传说中曾经有一条海龙为了拯救它的女海盗朋友，将整条海盗船从大漩涡中拖了出来。能被命为这个名字也是这种海龙的荣幸吧。",7710,75,0,135,true
220,"能够牢固地吸附在海底岩盘上的巨大牡蛎。据说要想将它钓起来，需要能够拉开岩盘的力量。",7711,80,0,140,true
221,"这种石软蟹经常将固定船身的绳索剪短，导致多条船莫名漂离港口，因此莫拉比造船厂的船工们决心联手将它驱除出去。",7712,75,0,135,true
222,"能够招来暴风雨的招雨鱼之王。曾有目击记录说在大暴雨的夜晚有条巨大的鱼跳出了湖面。",7713,70,3,132,true
223,"突发变异的铜鱼，身上的鳞片都像镜面一样光洁，能够凭借耀眼的反射光将其他鱼赶走，自己独占饵食。",7714,70,3,140,true
224,"",0,0,0,0,true
225,"",0,0,0,0,true
226,"",0,0,0,0,true
227,"",0,0,0,0,true
228,"",0,0,0,0,true
229,"",0,0,0,0,true
230,"",0,0,0,0,true
231,"",0,0,0,0,true
232,"",0,0,0,0,true
233,"",0,0,0,0,true
234,"",0,0,0,0,true
235,"",0,0,0,0,true
236,"",0,0,0,0,true
237,"",0,0,0,0,true
238,"",0,0,0,0,true
239,"",0,0,0,0,true
240,"",0,0,0,0,true
241,"",0,0,0,0,true
242,"",0,0,0,0,true
243,"",0,0,0,0,true
244,"",0,0,0,0,true
245,"",0,0,0,0,true
246,"",0,0,0,0,true
247,"",0,0,0,0,true
248,"",0,0,0,0,true
249,"",0,0,0,0,true
250,"",0,0,0,0,true
251,"",0,0,0,0,true
252,"",0,0,0,0,true
253,"",0,0,0,0,true
254,"",0,0,0,0,true
255,"",0,0,0,0,true
256,"",0,0,0,0,true
257,"",0,0,0,0,true
258,"",0,0,0,0,true
259,"",0,0,0,0,true
260,"",0,0,0,0,true
261,"",0,0,0,0,true
262,"",0,0,0,0,true
263,"",0,0,0,0,true
264,"",0,0,0,0,true
265,"",0,0,0,0,true
266,"",0,0,0,0,true
267,"",0,0,0,0,true
268,"",0,0,0,0,true
269,"",0,0,0,0,true
270,"",0,0,0,0,true
271,"",0,0,0,0,true
272,"",0,0,0,0,true
273,"",0,0,0,0,true
274,"",0,0,0,0,true
275,"",0,0,0,0,true
276,"",0,0,0,0,true
277,"",0,0,0,0,true
278,"",0,0,0,0,true
279,"",0,0,0,0,true
280,"",0,0,0,0,true
281,"",0,0,0,0,true
282,"",0,0,0,0,true
283,"",0,0,0,0,true
284,"",0,0,0,0,true
285,"",0,0,0,0,true
286,"",0,0,0,0,true
287,"",0,0,0,0,true
288,"",0,0,0,0,true
289,"",0,0,0,0,true
290,"",0,0,0,0,true
291,"",0,0,0,0,true
292,"",0,0,0,0,true
293,"",0,0,0,0,true
294,"",0,0,0,0,true
295,"",0,0,0,0,true
296,"",0,0,0,0,true
297,"",0,0,0,0,true
298,"",0,0,0,0,true
299,"",0,0,0,0,true
300,"",0,0,0,0,true
301,"",0,0,0,0,true
302,"",0,0,0,0,true
303,"",0,0,0,0,true
304,"",0,0,0,0,true
305,"",0,0,0,0,true
306,"",0,0,0,0,true
307,"",0,0,0,0,true
308,"",0,0,0,0,true
309,"",0,0,0,0,true
310,"",0,0,0,0,true
311,"",0,0,0,0,true
312,"",0,0,0,0,true
313,"",0,0,0,0,true
314,"",0,0,0,0,true
315,"",0,0,0,0,true
316,"",0,0,0,0,true
317,"",0,0,0,0,true
318,"",0,0,0,0,true
319,"",0,0,0,0,true
320,"",0,0,0,0,true
321,"",0,0,0,0,true
322,"",0,0,0,0,true
323,"",0,0,0,0,true
324,"",0,0,0,0,true
325,"",0,0,0,0,true
326,"",0,0,0,0,true
327,"",0,0,0,0,true
328,"",0,0,0,0,true
329,"",0,0,0,0,true
330,"",0,0,0,0,true
331,"",0,0,0,0,true
332,"",0,0,0,0,true
333,"",0,0,0,0,true
334,"",0,0,0,0,true
335,"",0,0,0,0,true
336,"",0,0,0,0,true
337,"",0,0,0,0,true
338,"",0,0,0,0,true
339,"",0,0,0,0,true
340,"",0,0,0,0,true
341,"",0,0,0,0,true
342,"",0,0,0,0,true
343,"",0,0,0,0,true
344,"",0,0,0,0,true
345,"",0,0,0,0,true
346,"",0,0,0,0,true
347,"",0,0,0,0,true
348,"",0,0,0,0,true
349,"",0,0,0,0,true
350,"",0,0,0,0,true
351,"",0,0,0,0,true
352,"",0,0,0,0,true
353,"",0,0,0,0,true
354,"",0,0,0,0,true
355,"",0,0,0,0,true
356,"",0,0,0,0,true
357,"",0,0,0,0,true
358,"",0,0,0,0,true
359,"",0,0,0,0,true
360,"",0,0,0,0,true
361,"",0,0,0,0,true
362,"",0,0,0,0,true
363,"",0,0,0,0,true
364,"",0,0,0,0,true
365,"",0,0,0,0,true
366,"",0,0,0,0,true
367,"",0,0,0,0,true
368,"",0,0,0,0,true
369,"",0,0,0,0,true
370,"",0,0,0,0,true
371,"",0,0,0,0,true
372,"",0,0,0,0,true
373,"",0,0,0,0,true
374,"",0,0,0,0,true
375,"",0,0,0,0,true
376,"",0,0,0,0,true
377,"",0,0,0,0,true
378,"",0,0,0,0,true
379,"",0,0,0,0,true
380,"",0,0,0,0,true
381,"",0,0,0,0,true
382,"",0,0,0,0,true
383,"",0,0,0,0,true
384,"",0,0,0,0,true
385,"",0,0,0,0,true
386,"",0,0,0,0,true
387,"",0,0,0,0,true
388,"",0,0,0,0,true
389,"",0,0,0,0,true
390,"",0,0,0,0,true
391,"",0,0,0,0,true
392,"",0,0,0,0,true
393,"",0,0,0,0,true
394,"",0,0,0,0,true
395,"",0,0,0,0,true
396,"",0,0,0,0,true
397,"",0,0,0,0,true
398,"",0,0,0,0,true
399,"",0,0,0,0,true
400,"",0,0,0,0,true
401,"",6688,36,0,134,false
402,"",6689,41,0,134,false
403,"",6690,46,0,134,false
404,"",6691,50,0,134,false
405,"",6692,50,0,134,false
